   76327.617655 lost 7156 events on cpu 5

Runtime summary
                          comm  parent   sched-in     run-time    min-run     avg-run     max-run  stddev  migrations
                                          (count)       (msec)     (msec)      (msec)      (msec)       %
---------------------------------------------------------------------------------------------------------------------
          kworker/98:1-mm[843]       2       1005        4.465      0.002       0.004       0.027    2.23       0
              migration/10[76]       2         38        0.368      0.004       0.009       0.041    9.93       0
          kworker/99:1-mm[844]       2       1127        4.899      0.002       0.004       0.065    2.23       0
              ksoftirqd/10[77]       2          3        0.048      0.008       0.016       0.029   41.95       0
          kworker/100:1-m[845]       2        862        3.525      0.001       0.004       0.018    2.13       0
          kworker/101:1-m[846]       2        746        3.049      0.002       0.004       0.024    2.64       0
             migration/53[335]       2         39        0.324      0.003       0.008       0.041   14.99       0
          kworker/102:1-m[847]       2        799        3.579      0.001       0.004       0.042    2.97       0
              snapd[2639/2327]    2327          1        0.031      0.031       0.031       0.031    0.00       0
    containerd-shim[3151/3143]    3143         27        4.167      0.007       0.154       0.608   22.07       0
          kworker/103:1-m[848]       2       1111        7.871      0.001       0.007       2.670   33.91       0
         containerd[2384/2345]    2345       1242       25.872      0.005       0.020       0.061    1.07       0
             migration/96[593]       2         38        0.257      0.003       0.006       0.039   14.22       0
          kworker/104:1-m[849]       2       1032        4.381      0.001       0.004       0.030    2.12       0
       kworker/u226:0-[916817]       2        874     6143.073      0.003       7.028     109.785    5.10       0
              migration/11[82]       2         39        0.391      0.003       0.010       0.043   11.30       0
          kworker/105:1-m[850]       2        854        3.579      0.001       0.004       0.022    2.32       0
         containerd[2386/2345]    2345          1        0.395      0.395       0.395       0.395    0.00       0
              ksoftirqd/11[83]       2          1        0.010      0.010       0.010       0.010    0.00       0
          kworker/106:1-m[851]       2       1139        4.887      0.001       0.004       0.031    2.18       0
         containerd[2387/2345]    2345        515       25.601      0.018       0.049       0.457    2.96       0
          kworker/107:1-m[852]       2       1150        4.919      0.001       0.004       0.028    2.10       0
              snapd[2644/2327]    2327          2        1.434      0.585       0.717       0.848   18.30       0
             migration/54[341]       2         39        0.327      0.003       0.008       0.041   15.45       0
          kworker/108:1-m[853]       2        861        3.807      0.001       0.004       0.032    2.59       0
              snapd[2645/2327]    2327          1        1.061      1.061       1.061       1.061    0.00       0
       kworker/u225:3-[906325]       2        403       24.972      0.004       0.061       4.782   27.61       0
       kworker/u225:2-[916821]       2          2        0.117      0.023       0.058       0.094   60.28       0
          kworker/109:1-m[854]       2       1415        6.084      0.001       0.004       0.059    2.09       0
              snapd[2646/2327]    2327          1        0.571      0.571       0.571       0.571    0.00       0
             migration/97[599]       2         38        0.278      0.003       0.007       0.041   13.60       0
          kworker/110:1-m[855]       2       1372        5.627      0.001       0.004       0.037    1.99       0
         containerd[2391/2345]    2345        135        7.647      0.020       0.056       0.772   12.75       0
         kworker/29:1H-k[4951]       2        418       14.425      0.007       0.034       0.133    2.31       0
              migration/12[88]       2         38        0.363      0.005       0.009       0.041    9.07       0
             ksoftirqd/97[600]       2          1        0.019      0.019       0.019       0.019    0.00       0
          kworker/111:1-m[856]       2       1559        9.599      0.001       0.006       2.626   27.41       0
         containerd[2394/2345]    2345         97        5.065      0.019       0.052       0.805   21.68       0
             migration/55[347]       2         40        0.349      0.003       0.008       0.045   15.55       0
         containerd[2395/2345]    2345          1        1.101      1.101       1.101       1.101    0.00       0
         containerd[2396/2345]    2345          2        0.938      0.074       0.469       0.863   84.02       0
             migration/98[605]       2         38        0.382      0.003       0.010       0.042   16.45       0
         containerd[2397/2345]    2345          1        0.112      0.112       0.112       0.112    0.00       0
              migration/13[94]       2         39        0.427      0.003       0.010       0.072   16.89       0
             ksoftirqd/98[606]       2          1        0.018      0.018       0.018       0.018    0.00       0
         containerd[2398/2345]    2345        146        8.760      0.018       0.060       1.440   16.24       0
         systemd-journal[1631]       1          3        0.356      0.094       0.118       0.161   18.01       0
         containerd[2399/2345]    2345          2        1.180      0.343       0.590       0.836   41.81       0
       docker-proxy[2911/2887]    2887          6        0.138      0.014       0.023       0.029   11.19       0
             migration/56[353]       2         40        0.405      0.003       0.010       0.044   10.41       0
         containerd[5729/2345]    2345        571       27.158      0.008       0.047       1.429    5.50       0
             migration/99[611]       2         38        0.262      0.003       0.006       0.041   14.59       0
             migration/14[100]       2         38        0.314      0.003       0.008       0.042   11.97       0
         kworker/53:1H-k[1380]       2          1        0.074      0.074       0.074       0.074    0.00       0
