
Runtime summary
                          comm  parent   sched-in     run-time    min-run     avg-run     max-run  stddev  migrations
                                          (count)       (msec)     (msec)      (msec)      (msec)       %
---------------------------------------------------------------------------------------------------------------------
            dockerd[4257/2411]    2411          2        1.965      0.311       0.982       1.653   68.28       0
             migration/67[419]       2         84        0.731      0.008       0.008       0.041    4.49       0
            migration/110[677]       2         83        0.729      0.003       0.008       0.040    6.01       0
         kworker/u226:1-[1189]       2         46        1.421      0.003       0.030       0.275   25.62       0
           systemd-udevd[1701]       1          3        0.521      0.158       0.173       0.200    7.77       0
             migration/25[166]       2         83        0.728      0.008       0.008       0.042    4.64       0
                  slurmd[4006]       1          2        0.260      0.127       0.130       0.132    1.78       0
             migration/68[425]       2         84        0.736      0.008       0.008       0.041    4.48       0
            migration/111[683]       2         82        0.696      0.003       0.008       0.011    2.12       0
             migration/26[172]       2         83        1.097      0.008       0.013       0.042    7.68       0
        kworker/u226:2[909997]       2       1402     5083.011      0.004       3.625      78.464    5.99       0
             migration/69[431]       2         84        0.716      0.008       0.008       0.018    1.40       0
             migration/27[178]       2         83        0.735      0.008       0.008       0.041    4.56       0
          kworker/0:2-kac[690]       2       1293      282.852      0.010       0.218       0.597    2.69       0
               khungtaskd[691]       2          3        0.514      0.137       0.171       0.202   11.00       0
             migration/70[437]       2         84        0.727      0.006       0.008       0.042    4.65       0
              agent[4277/3163]    3163          3        0.422      0.020       0.140       0.378   84.67       0
               kcompactd0[694]       2        641        9.006      0.007       0.014       0.041    1.86       0
              agent[4278/3163]    3163          4        2.427      0.103       0.606       1.875   69.83       0
               kcompactd1[695]       2        641        8.942      0.004       0.013       0.047    1.92       0
             migration/28[184]       2         83        0.700      0.002       0.008       0.044    6.17       0
             ksoftirqd/28[185]       2          1        0.041      0.041       0.041       0.041    0.00       0
               khugepaged[697]       2         67        2.537      0.006       0.037       0.103    7.59       0
             migration/71[443]       2         84        0.731      0.008       0.008       0.041    4.58       0
              agent[4541/3163]    3163          2        2.136      1.005       1.068       1.131    5.86       0
          kworker/57:2-ev[958]       2         95        2.823      0.009       0.029       0.033    1.29       0
             migration/29[191]       2         83        0.550      0.002       0.006       0.041    7.80       0
        kworker/u229:1[910015]       2          2        0.040      0.015       0.020       0.025   22.44       0
             ksoftirqd/29[192]       2          1        0.018      0.018       0.018       0.018    0.00       0
          kworker/59:2-mm[960]       2          1        0.008      0.008       0.008       0.008    0.00       0
         kworker/12:1H-k[1216]       2          1        0.064      0.064       0.064       0.064    0.00       0
             migration/72[449]       2         84        0.726      0.008       0.008       0.042    4.68       0
         kworker/33:1H-k[6338]       2         22        0.462      0.014       0.021       0.033    3.81       0
         kworker/108:1H-[1476]       2       1310       35.067      0.007       0.026       0.118    1.44       0
             migration/30[197]       2         83        0.549      0.002       0.006       0.041    8.52       0
             migration/73[455]       2         84        0.716      0.007       0.008       0.041    4.69       0
              snapd[2505/2327]    2327         17        0.446      0.011       0.026       0.068   15.12       0
    containerd-shim[4297/3143]    3143         47        9.272      0.007       0.197       0.850   19.44       0
         containerd[4298/2345]    2345          4        3.329      0.396       0.832       1.262   21.59       0
             migration/31[203]       2         83        0.862      0.003       0.010       0.041    8.19       0
              snapd[2507/2327]    2327          2        1.773      0.332       0.886       1.441   62.52       0
          kworker/71:2-ev[972]       2        164       11.615      0.061       0.070       0.093    0.82       0
             migration/74[461]       2         84        0.722      0.007       0.008       0.042    4.71       0
          kworker/72:2-mm[973]       2          3        0.120      0.032       0.040       0.047   11.06       0
            dockerd[4303/2411]    2411          2        2.279      1.137       1.139       1.141    0.17       0
         kworker/66:0-ev[5839]       2       1402       17.094      0.009       0.012       0.033    1.16       0
            dockerd[4304/2411]    2411          3        1.086      0.051       0.362       0.980   85.36       0
             migration/32[209]       2         83        0.649      0.003       0.007       0.042    6.60       0
              agent[4305/3163]    3163          4        1.793      0.006       0.448       1.274   66.61       0
              agent[4561/3163]    3163          5        2.043      0.027       0.408       1.255   58.89       0
         kworker/62:1-ev[6609]       2        167       22.130      0.014       0.132       0.157    0.91       0
              agent[4306/3163]    3163          3        2.784      0.028       0.928       1.781   54.60       0
             migration/75[467]       2         84        0.730      0.008       0.008       0.041    4.60       0
              agent[4307/3163]    3163          3        2.266      0.033       0.755       1.330   50.49       0
         kworker/63:0-ev[5331]       2        116        3.757      0.005       0.032       0.080    2.12       0
         containerd[4308/2345]    2345        323       21.324      0.023       0.066       1.571    8.22       0
                screen[906453]   897952         22        0.747      0.031       0.033       0.052    3.93       0
          kworker/81:2-ev[982]       2          6        0.211      0.013       0.035       0.064   18.71       0
             migration/33[215]       2         83        0.780      0.004       0.009       0.042    4.57       0
             migration/76[473]       2         84        0.730      0.008       0.008       0.042    4.65       0
         systemd-network[2266]       1         51        7.142      0.026       0.140       0.389   11.48       0
         containerd[4571/2345]    2345        557       32.403      0.020       0.058       1.771    5.72       0
