   76177.910062 lost 5538 events on cpu 58
   76177.916688 lost 1177 events on cpu 64

Runtime summary
                          comm  parent   sched-in     run-time    min-run     avg-run     max-run  stddev  migrations
                                          (count)       (msec)     (msec)      (msec)      (msec)       %
---------------------------------------------------------------------------------------------------------------------
       kworker/u225:2-[916821]       2        872       33.920      0.004       0.038       4.802   20.08       0
          kworker/109:1-m[854]       2        280        1.461      0.002       0.005       0.016    3.24       0
              snapd[2646/2327]    2327          1        0.407      0.407       0.407       0.407    0.00       0
             migration/97[599]       2         38        0.218      0.003       0.005       0.040   17.14       0
          kworker/110:1-m[855]       2        455        2.227      0.002       0.004       0.039    3.30       0
         containerd[2391/2345]    2345        331       18.562      0.004       0.056       0.674    4.74       0
              migration/12[88]       2         37        0.378      0.008       0.010       0.041   10.71       0
          kworker/111:1-e[856]       2        560        4.377      0.002       0.007       0.102    5.83       0
         containerd[2394/2345]    2345        300       16.274      0.003       0.054       0.259    2.49       0
             migration/55[347]       2         39        0.334      0.003       0.008       0.045   16.20       0
         containerd[2395/2345]    2345          1        0.376      0.376       0.376       0.376    0.00       0
                   agent[3163]    3143          1        1.443      1.443       1.443       1.443    0.00       0
         containerd[2396/2345]    2345        305       14.536      0.019       0.047       0.969    7.31       0
             migration/98[605]       2         38        0.391      0.002       0.010       0.040   16.09       0
         containerd[2397/2345]    2345          1        0.410      0.410       0.410       0.410    0.00       0
              migration/13[94]       2         37        0.371      0.008       0.010       0.041   10.64       0
         containerd[2398/2345]    2345        389       22.566      0.012       0.058       1.007    4.99       0
         systemd-journal[1631]       1          2        0.262      0.100       0.131       0.161   23.46       0
         containerd[2399/2345]    2345          1        0.023      0.023       0.023       0.023    0.00       0
       docker-proxy[2911/2887]    2887          6        0.148      0.014       0.024       0.031   10.28       0
             migration/56[353]       2         41        0.441      0.003       0.010       0.043   12.95       0
         containerd[5729/2345]    2345          2        0.939      0.020       0.469       0.918   95.53       0
             migration/99[611]       2         38        0.270      0.003       0.007       0.041   17.57       0
             migration/14[100]       2         37        0.372      0.004       0.010       0.041   10.67       0
         kworker/53:1H-k[1380]       2         98        3.153      0.008       0.032       0.097    3.59       0
             migration/57[359]       2         38        0.383      0.003       0.010       0.041   12.67       0
         containerd[2407/2345]    2345        250       13.609      0.019       0.054       1.514   11.32       0
              snapd[2664/2327]    2327          1        0.075      0.075       0.075       0.075    0.00       0
            migration/100[617]       2         38        0.270      0.003       0.007       0.041   14.29       0
              agent[4457/3163]    3163          1        1.060      1.060       1.060       1.060    0.00       0
             migration/15[106]       2         37        0.296      0.003       0.008       0.042   15.25       0
              snapd[2666/2327]    2327          6        0.365      0.015       0.060       0.167   39.49       0
             migration/58[365]       2         38        0.302      0.002       0.007       0.041   12.32       0
              snapd[2669/2327]    2327          1        0.564      0.564       0.564       0.564    0.00       0
              snapd[2670/2327]    2327          7        1.172      0.012       0.167       0.663   55.22       0
            migration/101[623]       2         38        0.222      0.003       0.005       0.041   17.19       0
             migration/16[112]       2         37        0.375      0.008       0.010       0.039    9.94       0
              snapd[2674/2327]    2327          1        0.185      0.185       0.185       0.185    0.00       0
             migration/59[371]       2         38        0.358      0.008       0.009       0.041    9.26       0
              snapd[2675/2327]    2327          1        1.267      1.267       1.267       1.267    0.00       0
            migration/102[629]       2         38        0.337      0.002       0.008       0.041   10.46       0
            dockerd[2421/2411]    2411        343        4.293      0.006       0.012       0.056    3.92       0
            dockerd[2677/2411]    2411          2        3.703      1.810       1.851       1.892    2.21       0
         kworker/60:0-mm[5749]       2          4        0.066      0.005       0.016       0.030   32.24       0
             migration/17[118]       2         37        0.350      0.008       0.009       0.041    9.51       0
          kworker/u224:1-[886]       2         21        0.260      0.010       0.012       0.030    7.53       0
       docker-proxy[2934/2924]    2924          6        0.133      0.014       0.022       0.034   17.28       0
            dockerd[2679/2411]    2411          4        1.318      0.012       0.329       1.013   71.33       0
            dockerd[2424/2411]    2411          2        2.736      1.114       1.368       1.621   18.53       0
             migration/60[377]       2         38        0.355      0.008       0.009       0.039    8.71       0
            migration/103[635]       2         38        0.292      0.003       0.007       0.041   12.87       0
            dockerd[2427/2411]    2411          2        3.495      1.587       1.747       1.907    9.17       0
             migration/18[124]       2         37        0.355      0.008       0.009       0.041    9.33       0
            dockerd[2428/2411]    2411         15        4.502      0.019       0.300       2.133   54.60       0
            dockerd[2429/2411]    2411          2        3.122      1.410       1.561       1.711    9.64       0
             migration/61[383]       2         38        0.354      0.008       0.009       0.042    9.60       0
                 rpcbind[2175]       1          5        0.171      0.025       0.034       0.055   16.13       0
            migration/104[641]       2         38        0.208      0.003       0.005       0.041   18.22       0
             migration/19[130]       2         37        0.352      0.008       0.009       0.042    9.54       0
